Position_mm;Temperature_C
0;416.785
1;1329.9
2;707.164
3;1222.2
4;701.961
5;1226.21
6;776.682
7;1147.48
8;841.036
9;1076.06
10;914.834
11;983.76
12;931.006
13;933.168
14;916.348
15;907.337
16;896.458
17;885.707
18;873.966
19;861.093
20;846.799
21;830.806
22;812.674
23;791.56
24;768.997
25;745.068
26;719.481
27;691.788
28;661.3
29;626.885
30;586.409
31;534.639
32;452.186
33;445.652
34;439.182
35;432.771
36;426.418
37;420.119
38;413.873
39;407.678
40;401.534
41;395.442
42;389.413
43;383.444
44;377.533
45;371.68
46;365.881
47;360.136
48;354.442
49;348.799
50;343.187
51;337.6
52;332.036
53;326.495
54;320.977
55;315.481
56;310.007
57;304.556
58;299.125
